num_node,method1_time,method1_num_iter,method2_time,method3_time,method3_num_iter,,,,,,,,
220,0.020012379,16,0.195508003,0.06799984,16,,,,,,,,
95,0.007000923,14,0.02101922,0.003979445,18,,,,,,,,
23,0.002999067,10,0.006000757,0.05801487,19,,Average num nodes,,Method 1 time,,Method 2 time,,Method 3 time
14,0.001001358,13,0,0.001998425,13,,122.5686275,,0.022035173,,0.056620785,,0.008600525
84,0.005976439,18,0.013996363,0.00800395,19,,13,,,,,,
226,0.443998098,19,0.131001711,0.009998798,19,,226,,,,,,
91,0.006998062,22,0.01100111,0.002026558,22,,,,,,,,
118,0.018945217,10,0.037029505,0.004972458,18,,,,,,,,
81,0.006999016,18,0.014000416,0.003001213,18,,,,,,,,
13,0.00100112,14,0.00200057,0.002997875,14,,,,,,,,
48,0.00600028,11,0.00700736,0.005992889,18,,,,,,,,
128,0.028999329,18,0.066000462,0.009004116,19,,,,,,,,
180,0.020998716,20,0.131006956,0.007991552,20,,,,,,,,
210,0.014998913,19,0.115000248,0.013998985,19,,,,,,,,
21,0.001998425,22,0.002999544,0.00300169,23,,,,,,,,
170,0.012999296,14,0.080001354,0.007000208,19,,,,,,,,
23,0.001002789,10,0.000996828,0.004001617,10,,,,,,,,
175,0.018999815,12,0.081006289,0.008995771,18,,,,,,,,
24,0.002999306,9,0.001001358,0.003998995,19,,,,,,,,
138,0.008002758,15,0.039997578,0.003999949,19,,,,,,,,
221,0.022999048,14,0.145013571,0.018501043,18,,,,,,,,
170,0.016009092,15,0.104988813,0.003998756,19,,,,,,,,
204,0.01595974,19,0.110023737,0.004004717,19,,,,,,,,
213,0.013999224,16,0.12405014,0.007978439,18,,,,,,,,
165,0.030978441,20,0.083978891,0.003999233,19,,,,,,,,
183,0.03399539,20,0.091999292,0.006000519,20,,,,,,,,
38,0.001984596,22,0.002027512,0.002985716,22,,,,,,,,
105,0.010997534,14,0.023004532,0.002996206,19,,,,,,,,
149,0.018992662,15,0.079998493,0.005999327,17,,,,,,,,
118,0.025024891,11,0.044002295,0.003000021,17,,,,,,,,
188,0.036998749,16,0.163002729,0.007996082,19,,,,,,,,
186,0.024947405,20,0.120001078,0.005038977,19,,,,,,,,
125,0.011973619,16,0.047038794,0.002999544,18,,,,,,,,
171,0.012958288,14,0.090009212,0.010031223,19,,,,,,,,
128,0.019000769,13,0.074997187,0.01499939,18,,,,,,,,
181,0.018992186,19,0.074999571,0.004027128,19,,,,,,,,
96,0.010961056,17,0.020006657,0.008994818,19,,,,,,,,
145,0.01900363,14,0.048000574,0.007002115,18,,,,,,,,
209,0.020002365,19,0.109998941,0.006026983,19,,,,,,,,
120,0.020999908,19,0.046996832,0.014998913,19,,,,,,,,
65,0.004003763,21,0.00701499,0.007983208,21,,,,,,,,
212,0.021997452,20,0.099998713,0.0070014,19,,,,,,,,
26,0.002001524,22,0.002004623,0.003036976,22,,,,,,,,
123,0.012028933,15,0.053975344,0.006999016,17,,,,,,,,
73,0.006056786,20,0.008948088,0.003991604,19,,,,,,,,
147,0.016994953,13,0.056999445,0.008043766,18,,,,,,,,
120,0.016000748,18,0.056006432,0.008005619,19,,,,,,,,
97,0.009001732,22,0.01300025,0.002999783,22,,,,,,,,
84,0.009997845,21,0.014997959,0.005003214,21,,,,,,,,
75,0.004998684,9,0.012001276,0.010001183,15,,,,,,,,
32,0.002001524,11,0.001998425,0.003002644,18,,,,,,,,
